epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20477,2.35862,3.66223,1.39606,0.01667,0.33333,0.01299,0.00374,2.01283,3.63083,1.25472,4e-05,4e-05,4e-05
2,7.9296,2.16308,3.60088,1.19939,0.02889,0.57778,0.03776,0.01369,1.68935,3.55762,1.09465,9.901e-05,9.901e-05,9.901e-05
3,13.1653,2.03814,3.37094,1.14843,0.04111,0.82222,0.06789,0.02986,1.59931,3.45668,1.03291,0.000156832,0.000156832,0.000156832
4,19.18,1.89336,3.05037,1.11381,0.04444,0.88889,0.08632,0.04095,1.5771,3.397,1.00773,0.000213466,0.000213466,0.000213466
5,22.8474,1.86151,2.72246,1.06616,0.04667,0.93333,0.10786,0.05431,1.54224,3.32438,0.99055,0.000268912,0.000268912,0.000268912
6,26.5202,1.82987,2.43768,1.01113,0.04889,0.97778,0.12412,0.06245,1.50652,3.23189,0.96892,0.00032317,0.00032317,0.00032317
7,30.467,1.85883,2.14876,1.05059,0.04667,0.93333,0.11515,0.05628,1.49006,3.11247,0.96333,0.00037624,0.00037624,0.00037624
8,34.929,1.72375,1.84836,0.96786,0.04667,0.93333,0.71838,0.38536,1.44946,2.87938,0.94723,0.000428122,0.000428122,0.000428122
9,39.2777,1.73614,1.51886,0.99263,0.04667,0.93333,0.71838,0.38536,1.44946,2.87938,0.94723,0.000478816,0.000478816,0.000478816
10,43.8074,1.65446,1.31257,1.01809,1,0.5729,0.90708,0.51982,1.48125,2.39027,0.94594,0.000528322,0.000528322,0.000528322
11,48.5534,1.67447,1.25054,1.03199,1,0.5729,0.90708,0.51982,1.48125,2.39027,0.94594,0.00057664,0.00057664,0.00057664
12,53.5086,1.6099,1.21705,0.97477,0.94797,0.82222,0.93298,0.54379,1.45003,1.82067,0.95903,0.00062377,0.00062377,0.00062377
13,59.0768,1.69863,1.0666,1.00225,0.94797,0.82222,0.93298,0.54379,1.45003,1.82067,0.95903,0.000669712,0.000669712,0.000669712
14,63.7319,1.65763,1.11317,0.96957,0.97406,0.83463,0.94965,0.49325,1.57891,1.35445,1.00417,0.000714466,0.000714466,0.000714466
15,67.8192,1.72177,1.07287,1.01739,0.97406,0.83463,0.94965,0.49325,1.57891,1.35445,1.00417,0.000758032,0.000758032,0.000758032
16,71.6489,1.71568,1.11321,1.00898,0.97406,0.83463,0.94965,0.49325,1.57891,1.35445,1.00417,0.00080041,0.00080041,0.00080041
17,75.5686,1.65281,1.06553,1.04156,0.97536,0.87968,0.97332,0.49266,1.44506,1.03811,0.9833,0.0008416,0.0008416,0.0008416
18,79.6238,1.64505,1.048,0.98225,0.97536,0.87968,0.97332,0.49266,1.44506,1.03811,0.9833,0.000881602,0.000881602,0.000881602
19,83.521,1.58669,1.02262,0.95817,0.97536,0.87968,0.97332,0.49266,1.44506,1.03811,0.9833,0.000920416,0.000920416,0.000920416
20,87.6228,1.68924,1.04298,0.98795,0.9359,0.97343,0.98846,0.54959,1.40773,0.93022,0.9836,0.000958042,0.000958042,0.000958042
21,91.5299,1.72997,1.04519,1.00133,0.9359,0.97343,0.98846,0.54959,1.40773,0.93022,0.9836,0.00099448,0.00099448,0.00099448
22,95.2721,1.63285,0.99223,0.99488,0.9359,0.97343,0.98846,0.54959,1.40773,0.93022,0.9836,0.00102973,0.00102973,0.00102973
23,99.247,1.65422,1.01749,0.99797,0.9359,0.97343,0.98846,0.54959,1.40773,0.93022,0.9836,0.00106379,0.00106379,0.00106379
24,103.235,1.61806,1.0276,0.99674,0.95373,0.97778,0.98274,0.56227,1.38783,1.0167,0.98986,0.00109667,0.00109667,0.00109667
25,107.107,1.47551,1.11887,1.0029,0.95373,0.97778,0.98274,0.56227,1.38783,1.0167,0.98986,0.00112835,0.00112835,0.00112835
26,111.042,1.58175,0.98196,1.03094,0.95373,0.97778,0.98274,0.56227,1.38783,1.0167,0.98986,0.00115885,0.00115885,0.00115885
