epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51537,2.15934,3.94889,1.4282,0.00904,0.36593,0.00843,0.00366,1.87708,4.09426,1.23844,0.00010002,0.00010002,0.00010002
2,17.6981,1.81501,3.64503,1.25527,0.02266,0.68681,0.02154,0.01239,1.4614,3.93387,1.10756,0.000214565,0.000214565,0.000214565
3,27.1147,1.67362,3.17216,1.12479,0.02094,0.47253,0.01845,0.00946,1.37383,3.78547,1.06529,0.000326799,0.000326799,0.000326799
4,35.6647,1.60375,2.52684,1.08802,0.01875,0.44835,0.02718,0.01142,1.42377,3.7133,1.06856,0.000436722,0.000436722,0.000436722
5,44.5361,1.61501,2.12244,1.02794,0.42686,0.51099,0.46983,0.29619,1.54781,3.3121,1.12437,0.000544336,0.000544336,0.000544336
6,52.6501,1.54992,1.673,1.06998,0.65971,0.45531,0.69591,0.41002,1.58164,2.91887,1.16547,0.000649638,0.000649638,0.000649638
7,61.0819,1.51772,1.40773,1.03447,0.65971,0.45531,0.69591,0.41002,1.58164,2.91887,1.16547,0.00075263,0.00075263,0.00075263
8,69.2937,1.54782,1.80042,1.07569,0.74855,0.62637,0.73821,0.41003,1.62642,2.56164,1.18914,0.000853312,0.000853312,0.000853312
9,77.6863,1.47834,1.32107,1.04509,0.72666,0.81475,0.78698,0.4659,1.65614,2.03607,1.17353,0.000951684,0.000951684,0.000951684
10,86.0275,1.40833,1.28959,1.0037,0.72666,0.81475,0.78698,0.4659,1.65614,2.03607,1.17353,0.00104774,0.00104774,0.00104774
11,94.4246,1.55263,1.40453,1.0332,0.75655,0.81697,0.81668,0.47767,1.70254,1.75555,1.16589,0.00114149,0.00114149,0.00114149
12,102.759,1.54568,1.40438,0.98459,0.75655,0.81697,0.81668,0.47767,1.70254,1.75555,1.16589,0.00123293,0.00123293,0.00123293
13,111.366,1.45855,1.38113,1.00928,0.84386,0.38462,0.61756,0.29887,1.76446,1.81334,1.1997,0.00132206,0.00132206,0.00132206
14,119.683,1.54981,1.2401,1.0336,0.84386,0.38462,0.61756,0.29887,1.76446,1.81334,1.1997,0.00140888,0.00140888,0.00140888
15,128.222,1.49744,1.2433,1.01248,0.69585,0.52525,0.63714,0.37388,1.73266,2.02235,1.15573,0.00143595,0.00143595,0.00143595
16,137.053,1.55013,1.33674,0.98623,0.69585,0.52525,0.63714,0.37388,1.73266,2.02235,1.15573,0.00141945,0.00141945,0.00141945
17,147.255,1.51036,1.2771,0.98692,0.67242,0.88829,0.77405,0.49266,1.54921,1.58634,1.06803,0.00140295,0.00140295,0.00140295
18,157.162,1.59545,1.50502,1.0913,0.67242,0.88829,0.77405,0.49266,1.54921,1.58634,1.06803,0.00138644,0.00138644,0.00138644
19,167.319,1.48379,1.29737,0.99106,0.67242,0.88829,0.77405,0.49266,1.54921,1.58634,1.06803,0.00136994,0.00136994,0.00136994
20,177.567,1.40596,1.0576,0.99423,0.69072,0.84097,0.75326,0.47077,1.55122,1.47131,1.06154,0.00135344,0.00135344,0.00135344
21,186,1.30562,1.12131,0.97936,0.69072,0.84097,0.75326,0.47077,1.55122,1.47131,1.06154,0.00133693,0.00133693,0.00133693
22,194.726,1.37501,1.11823,0.9809,0.74764,0.88604,0.75969,0.47047,1.63196,1.49289,1.07781,0.00132043,0.00132043,0.00132043
23,203.556,1.3842,1.27217,0.97893,0.74764,0.88604,0.75969,0.47047,1.63196,1.49289,1.07781,0.00130393,0.00130393,0.00130393
24,212.053,1.4224,1.20146,0.97901,0.75109,0.85993,0.77395,0.46554,1.78145,1.32737,1.12369,0.00128742,0.00128742,0.00128742
25,220.845,1.39839,1.05954,1.01407,0.75109,0.85993,0.77395,0.46554,1.78145,1.32737,1.12369,0.00127092,0.00127092,0.00127092
26,230.083,1.44716,1.12376,0.97959,0.75858,0.8891,0.79914,0.49671,1.83961,1.22277,1.09659,0.00125442,0.00125442,0.00125442
27,238.648,1.33631,0.99255,0.97753,0.75858,0.8891,0.79914,0.49671,1.83961,1.22277,1.09659,0.00123791,0.00123791,0.00123791
28,249.39,1.36849,1.04324,1.00485,0.75858,0.8891,0.79914,0.49671,1.83961,1.22277,1.09659,0.00122141,0.00122141,0.00122141
29,260.509,1.31256,0.96284,0.98081,0.753,0.9191,0.82599,0.53259,1.77304,1.17283,1.0469,0.00120491,0.00120491,0.00120491
30,271.567,1.41053,1.09908,1.00038,0.753,0.9191,0.82599,0.53259,1.77304,1.17283,1.0469,0.0011884,0.0011884,0.0011884
31,282.187,1.34645,1.06349,0.98881,0.74753,0.93407,0.83983,0.53401,1.76692,1.19219,0.98783,0.0011719,0.0011719,0.0011719
32,292.25,1.37801,1.03408,1.02181,0.74753,0.93407,0.83983,0.53401,1.76692,1.19219,0.98783,0.0011554,0.0011554,0.0011554
33,302.462,1.36406,0.98929,0.96285,0.73752,0.92418,0.83607,0.54097,1.7857,1.20461,0.9757,0.00113889,0.00113889,0.00113889
34,311.328,1.37978,1.09196,0.98212,0.73752,0.92418,0.83607,0.54097,1.7857,1.20461,0.9757,0.00112239,0.00112239,0.00112239
35,320.342,1.31982,0.95097,0.98958,0.73752,0.92418,0.83607,0.54097,1.7857,1.20461,0.9757,0.00110589,0.00110589,0.00110589
36,329.21,1.28909,0.9735,0.97741,0.75503,0.95495,0.8143,0.5434,1.82349,1.24041,0.9816,0.00108938,0.00108938,0.00108938
37,338.024,1.30461,1.05178,0.99375,0.75503,0.95495,0.8143,0.5434,1.82349,1.24041,0.9816,0.00107288,0.00107288,0.00107288
38,347.055,1.25994,0.92279,0.98416,0.75746,0.93077,0.8254,0.5469,1.78881,1.24961,0.96688,0.00105638,0.00105638,0.00105638
39,356.083,1.32813,0.97142,0.95387,0.75746,0.93077,0.8254,0.5469,1.78881,1.24961,0.96688,0.00103987,0.00103987,0.00103987
40,365.17,1.29427,1.03401,0.9659,0.71011,0.92308,0.84179,0.54405,1.7606,1.26757,0.97017,0.00102337,0.00102337,0.00102337
41,374.913,1.33048,0.92713,0.96406,0.71011,0.92308,0.84179,0.54405,1.7606,1.26757,0.97017,0.00100687,0.00100687,0.00100687
42,383.871,1.2783,0.92279,0.96715,0.72658,0.91538,0.84388,0.5626,1.67082,1.20123,0.97829,0.000990365,0.000990365,0.000990365
43,392.893,1.26205,1.0081,0.93684,0.72658,0.91538,0.84388,0.5626,1.67082,1.20123,0.97829,0.000973861,0.000973861,0.000973861
44,403.586,1.2417,0.92442,0.94018,0.72658,0.91538,0.84388,0.5626,1.67082,1.20123,0.97829,0.000957358,0.000957358,0.000957358
45,414.279,1.28404,1.01043,0.97431,0.71429,0.98738,0.83819,0.56282,1.62234,1.09794,0.99013,0.000940855,0.000940855,0.000940855
46,425.768,1.30469,0.9811,0.99007,0.71429,0.98738,0.83819,0.56282,1.62234,1.09794,0.99013,0.000924352,0.000924352,0.000924352
47,437.462,1.18784,0.89668,0.95899,0.71802,0.98462,0.81887,0.54403,1.70056,1.08169,1.01179,0.000907848,0.000907848,0.000907848
48,447.001,1.18547,0.93008,0.92747,0.71802,0.98462,0.81887,0.54403,1.70056,1.08169,1.01179,0.000891345,0.000891345,0.000891345
49,456.376,1.25956,0.87724,0.94488,0.75236,0.92938,0.81417,0.53284,1.76069,1.1197,1.03063,0.000874842,0.000874842,0.000874842
50,465.716,1.28457,0.94031,1.02559,0.75236,0.92938,0.81417,0.53284,1.76069,1.1197,1.03063,0.000858338,0.000858338,0.000858338
51,474.75,1.18649,0.8466,0.96418,0.75236,0.92938,0.81417,0.53284,1.76069,1.1197,1.03063,0.000841835,0.000841835,0.000841835
52,484.308,1.31271,0.86957,0.96688,0.75456,0.93846,0.81222,0.51516,1.91513,1.15906,1.07018,0.000825332,0.000825332,0.000825332
53,493.584,1.3387,0.85088,0.94777,0.75456,0.93846,0.81222,0.51516,1.91513,1.15906,1.07018,0.000808828,0.000808828,0.000808828
54,504.031,1.21253,0.86946,0.96284,0.75182,0.93077,0.81052,0.51287,1.9231,1.16045,1.08116,0.000792325,0.000792325,0.000792325
55,514.217,1.2352,0.91035,0.96911,0.75182,0.93077,0.81052,0.51287,1.9231,1.16045,1.08116,0.000775822,0.000775822,0.000775822
56,524.647,1.28299,0.94638,1.0057,0.74722,0.94096,0.80412,0.53531,1.66723,1.11321,1.03768,0.000759318,0.000759318,0.000759318
57,534.955,1.16234,0.81748,0.97734,0.74722,0.94096,0.80412,0.53531,1.66723,1.11321,1.03768,0.000742815,0.000742815,0.000742815
58,545.333,1.25939,0.89807,0.96491,0.75277,0.96923,0.81885,0.55302,1.53281,1.07782,0.9928,0.000726312,0.000726312,0.000726312
59,555.918,1.19899,0.84903,0.93793,0.75277,0.96923,0.81885,0.55302,1.53281,1.07782,0.9928,0.000709809,0.000709809,0.000709809
60,566.442,1.27241,0.88195,0.95121,0.75277,0.96923,0.81885,0.55302,1.53281,1.07782,0.9928,0.000693305,0.000693305,0.000693305
61,577.267,1.22109,0.79619,0.94651,0.75109,0.98379,0.82633,0.56556,1.4838,1.08804,0.9714,0.000676802,0.000676802,0.000676802
62,589.125,1.28624,0.85006,0.93024,0.75109,0.98379,0.82633,0.56556,1.4838,1.08804,0.9714,0.000660299,0.000660299,0.000660299
63,600.58,1.18257,0.84415,0.96103,0.75012,0.97027,0.83432,0.56373,1.47001,1.11135,0.96404,0.000643795,0.000643795,0.000643795
64,612.048,1.18959,0.80641,0.95452,0.75012,0.97027,0.83432,0.56373,1.47001,1.11135,0.96404,0.000627292,0.000627292,0.000627292
65,622.894,1.25993,0.82197,1.01301,0.74115,0.96923,0.84249,0.55,1.61963,1.16036,1.00687,0.000610789,0.000610789,0.000610789
