epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08173,2.33397,3.89151,1.80098,0.00589,0.09722,0.00324,0.00077,0.95687,5.01031,0.87888,0.00010002,0.00010002,0.00010002
2,17.5591,1.86277,3.63577,1.49641,0.04335,0.79167,0.04074,0.01565,0.9066,4.91294,0.7414,0.000214565,0.000214565,0.000214565
3,27.2031,1.57022,3.14482,1.24099,0.05144,0.94444,0.05501,0.02588,0.83646,4.83603,0.63066,0.000326799,0.000326799,0.000326799
4,37.1224,1.49653,2.63168,1.15243,0.05165,0.95833,0.05533,0.02956,0.77396,4.80712,0.59526,0.000436722,0.000436722,0.000436722
5,46.5736,1.40803,2.40975,1.07045,0.05267,0.97222,0.60173,0.36452,0.70647,4.9096,0.52887,0.000544336,0.000544336,0.000544336
6,55.1144,1.34944,2.0173,1.06231,0.53322,0.65051,0.57753,0.34005,0.72865,6.06527,0.5298,0.000649638,0.000649638,0.000649638
7,63.6574,1.40454,1.73831,1.06107,0.53322,0.65051,0.57753,0.34005,0.72865,6.06527,0.5298,0.00075263,0.00075263,0.00075263
8,72.0057,1.32012,1.54796,1.05349,0.76732,0.6871,0.7889,0.41923,0.8156,8.37488,0.55173,0.000853312,0.000853312,0.000853312
9,80.6359,1.29191,1.39445,1.05745,0.74115,0.69444,0.7637,0.45651,0.71402,24.0412,0.50493,0.000951684,0.000951684,0.000951684
10,88.9162,1.28969,1.29436,1.04799,0.74115,0.69444,0.7637,0.45651,0.71402,24.0412,0.50493,0.00104774,0.00104774,0.00104774
11,97.7876,1.27517,1.19327,1.047,0.6347,0.77778,0.70774,0.43202,0.66736,46.4991,0.50147,0.00114149,0.00114149,0.00114149
12,106.357,1.35533,1.18821,1.05932,0.6347,0.77778,0.70774,0.43202,0.66736,46.4991,0.50147,0.00123293,0.00123293,0.00123293
13,115.813,1.34632,1.26908,1.08047,0.47681,0.77778,0.5335,0.28392,0.78875,48.6988,0.57012,0.00132206,0.00132206,0.00132206
14,125.128,1.33835,1.19378,1.09015,0.47681,0.77778,0.5335,0.28392,0.78875,48.6988,0.57012,0.00140888,0.00140888,0.00140888
15,135.12,1.30552,1.11256,1.07214,0.57771,0.79167,0.57736,0.32733,0.70958,44.2763,0.58089,0.00143595,0.00143595,0.00143595
